type,key,pattern,result,ingredients
minecraft:crafting_special_bannerduplicate,,,,
minecraft:crafting_shaped,"{'P': {'tag': 'minecraft:planks'}, 'S': {'tag': 'minecraft:wooden_slabs'}}","['PSP', 'P P', 'PSP']",{'item': 'minecraft:barrel'},
minecraft:crafting_shaped,"{'G': {'item': 'minecraft:glass'}, 'O': {'item': 'minecraft:obsidian'}, 'S': {'item': 'minecraft:nether_star'}}","['GGG', 'GSG', 'OOO']",{'item': 'minecraft:beacon'},
minecraft:crafting_shaped,"{'H': {'item': 'minecraft:honeycomb'}, 'P': {'tag': 'minecraft:planks'}}","['PPP', 'HHH', 'PPP']",{'item': 'minecraft:beehive'},
minecraft:crafting_shapeless,,,{'item': 'minecraft:beetroot_soup'},"[{'item': 'minecraft:bowl'}, {'item': 'minecraft:beetroot'}, {'item': 'minecraft:beetroot'}, {'item': 'minecraft:beetroot'}, {'item': 'minecraft:beetroot'}, {'item': 'minecraft:beetroot'}, {'item': 'minecraft:beetroot'}]"
minecraft:crafting_shaped,{'#': {'item': 'minecraft:birch_planks'}},"['# #', '###']",{'item': 'minecraft:birch_boat'},
minecraft:crafting_shapeless,,,{'item': 'minecraft:birch_button'},[{'item': 'minecraft:birch_planks'}]
minecraft:crafting_shapeless,,,{'item': 'minecraft:birch_chest_boat'},"[{'item': 'minecraft:chest'}, {'item': 'minecraft:birch_boat'}]"
minecraft:crafting_shaped,{'#': {'item': 'minecraft:birch_planks'}},"['##', '##', '##']","{'count': 3, 'item': 'minecraft:birch_door'}",
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:stick'}, 'W': {'item': 'minecraft:birch_planks'}}","['W#W', 'W#W']","{'count': 3, 'item': 'minecraft:birch_fence'}",
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:stick'}, 'W': {'item': 'minecraft:birch_planks'}}","['#W#', '#W#']",{'item': 'minecraft:birch_fence_gate'},
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:stripped_birch_log'}, 'X': {'item': 'minecraft:chain'}}","['X X', '###', '###']","{'count': 6, 'item': 'minecraft:birch_hanging_sign'}",
minecraft:crafting_shapeless,,,"{'count': 4, 'item': 'minecraft:birch_planks'}",[{'tag': 'minecraft:birch_logs'}]
minecraft:crafting_shaped,{'#': {'item': 'minecraft:birch_planks'}},['##'],{'item': 'minecraft:birch_pressure_plate'},
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:birch_planks'}, 'X': {'item': 'minecraft:stick'}}","['###', '###', ' X ']","{'count': 3, 'item': 'minecraft:birch_sign'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:birch_planks'}},['###'],"{'count': 6, 'item': 'minecraft:birch_slab'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:birch_planks'}},"['#  ', '## ', '###']","{'count': 4, 'item': 'minecraft:birch_stairs'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:birch_planks'}},"['###', '###']","{'count': 2, 'item': 'minecraft:birch_trapdoor'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:birch_log'}},"['##', '##']","{'count': 3, 'item': 'minecraft:birch_wood'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:blackstone'}},['###'],"{'count': 6, 'item': 'minecraft:blackstone_slab'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:blackstone'}},"['#  ', '## ', '###']","{'count': 4, 'item': 'minecraft:blackstone_stairs'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:blackstone'}},"['###', '###']","{'count': 6, 'item': 'minecraft:blackstone_wall'}",
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:black_wool'}, '|': {'item': 'minecraft:stick'}}","['###', '###', ' | ']",{'item': 'minecraft:black_banner'},
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:black_wool'}, 'X': {'tag': 'minecraft:planks'}}","['###', 'XXX']",{'item': 'minecraft:black_bed'},
minecraft:crafting_shapeless,,,{'item': 'minecraft:black_candle'},"[{'item': 'minecraft:candle'}, {'item': 'minecraft:black_dye'}]"
minecraft:crafting_shaped,{'#': {'item': 'minecraft:black_wool'}},['##'],"{'count': 3, 'item': 'minecraft:black_carpet'}",
minecraft:crafting_shapeless,,,"{'count': 8, 'item': 'minecraft:black_concrete_powder'}","[{'item': 'minecraft:black_dye'}, {'item': 'minecraft:sand'}, {'item': 'minecraft:sand'}, {'item': 'minecraft:sand'}, {'item': 'minecraft:sand'}, {'item': 'minecraft:gravel'}, {'item': 'minecraft:gravel'}, {'item': 'minecraft:gravel'}, {'item': 'minecraft:gravel'}]"
minecraft:crafting_shapeless,,,{'item': 'minecraft:black_dye'},[{'item': 'minecraft:ink_sac'}]
minecraft:crafting_shapeless,,,{'item': 'minecraft:black_dye'},[{'item': 'minecraft:wither_rose'}]
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:glass'}, 'X': {'item': 'minecraft:black_dye'}}","['###', '#X#', '###']","{'count': 8, 'item': 'minecraft:black_stained_glass'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:black_stained_glass'}},"['###', '###']","{'count': 16, 'item': 'minecraft:black_stained_glass_pane'}",
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:glass_pane'}, '$': {'item': 'minecraft:black_dye'}}","['###', '#$#', '###']","{'count': 8, 'item': 'minecraft:black_stained_glass_pane'}",
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:terracotta'}, 'X': {'item': 'minecraft:black_dye'}}","['###', '#X#', '###']","{'count': 8, 'item': 'minecraft:black_terracotta'}",
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:smooth_stone'}, 'I': {'item': 'minecraft:iron_ingot'}, 'X': {'item': 'minecraft:furnace'}}","['III', 'IXI', '###']",{'item': 'minecraft:blast_furnace'},
minecraft:crafting_shapeless,,,"{'count': 2, 'item': 'minecraft:blaze_powder'}",[{'item': 'minecraft:blaze_rod'}]
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:blue_wool'}, '|': {'item': 'minecraft:stick'}}","['###', '###', ' | ']",{'item': 'minecraft:blue_banner'},
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:blue_wool'}, 'X': {'tag': 'minecraft:planks'}}","['###', 'XXX']",{'item': 'minecraft:blue_bed'},
minecraft:crafting_shapeless,,,{'item': 'minecraft:blue_candle'},"[{'item': 'minecraft:candle'}, {'item': 'minecraft:blue_dye'}]"
minecraft:crafting_shaped,{'#': {'item': 'minecraft:blue_wool'}},['##'],"{'count': 3, 'item': 'minecraft:blue_carpet'}",
minecraft:crafting_shapeless,,,"{'count': 8, 'item': 'minecraft:blue_concrete_powder'}","[{'item': 'minecraft:blue_dye'}, {'item': 'minecraft:sand'}, {'item': 'minecraft:sand'}, {'item': 'minecraft:sand'}, {'item': 'minecraft:sand'}, {'item': 'minecraft:gravel'}, {'item': 'minecraft:gravel'}, {'item': 'minecraft:gravel'}, {'item': 'minecraft:gravel'}]"
minecraft:crafting_shapeless,,,{'item': 'minecraft:blue_dye'},[{'item': 'minecraft:lapis_lazuli'}]
minecraft:crafting_shapeless,,,{'item': 'minecraft:blue_dye'},[{'item': 'minecraft:cornflower'}]
minecraft:crafting_shapeless,,,{'item': 'minecraft:blue_ice'},"[{'item': 'minecraft:packed_ice'}, {'item': 'minecraft:packed_ice'}, {'item': 'minecraft:packed_ice'}, {'item': 'minecraft:packed_ice'}, {'item': 'minecraft:packed_ice'}, {'item': 'minecraft:packed_ice'}, {'item': 'minecraft:packed_ice'}, {'item': 'minecraft:packed_ice'}, {'item': 'minecraft:packed_ice'}]"
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:glass'}, 'X': {'item': 'minecraft:blue_dye'}}","['###', '#X#', '###']","{'count': 8, 'item': 'minecraft:blue_stained_glass'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:blue_stained_glass'}},"['###', '###']","{'count': 16, 'item': 'minecraft:blue_stained_glass_pane'}",
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:glass_pane'}, '$': {'item': 'minecraft:blue_dye'}}","['###', '#$#', '###']","{'count': 8, 'item': 'minecraft:blue_stained_glass_pane'}",
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:terracotta'}, 'X': {'item': 'minecraft:blue_dye'}}","['###', '#X#', '###']","{'count': 8, 'item': 'minecraft:blue_terracotta'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:bone_meal'}},"['###', '###', '###']",{'item': 'minecraft:bone_block'},
minecraft:crafting_shapeless,,,"{'count': 3, 'item': 'minecraft:bone_meal'}",[{'item': 'minecraft:bone'}]
minecraft:crafting_shapeless,,,"{'count': 9, 'item': 'minecraft:bone_meal'}",[{'item': 'minecraft:bone_block'}]
minecraft:crafting_shapeless,,,{'item': 'minecraft:book'},"[{'item': 'minecraft:paper'}, {'item': 'minecraft:paper'}, {'item': 'minecraft:paper'}, {'item': 'minecraft:leather'}]"
minecraft:crafting_shaped,"{'#': {'tag': 'minecraft:planks'}, 'X': {'item': 'minecraft:book'}}","['###', 'XXX', '###']",{'item': 'minecraft:bookshelf'},
minecraft:crafting_special_bookcloning,,,,
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:stick'}, 'X': {'item': 'minecraft:string'}}","[' #X', '# X', ' #X']",{'item': 'minecraft:bow'},
minecraft:crafting_shaped,{'#': {'tag': 'minecraft:planks'}},"['# #', ' # ']","{'count': 4, 'item': 'minecraft:bowl'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:wheat'}},['###'],{'item': 'minecraft:bread'},
minecraft:crafting_shaped,"{'#': {'tag': 'minecraft:stone_crafting_materials'}, 'B': {'item': 'minecraft:blaze_rod'}}","[' B ', '###']",{'item': 'minecraft:brewing_stand'},
minecraft:crafting_shaped,{'#': {'item': 'minecraft:brick'}},"['##', '##']",{'item': 'minecraft:bricks'},
minecraft:crafting_shaped,{'#': {'item': 'minecraft:bricks'}},['###'],"{'count': 6, 'item': 'minecraft:brick_slab'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:bricks'}},"['#  ', '## ', '###']","{'count': 4, 'item': 'minecraft:brick_stairs'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:bricks'}},"['###', '###']","{'count': 6, 'item': 'minecraft:brick_wall'}",
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:brown_wool'}, '|': {'item': 'minecraft:stick'}}","['###', '###', ' | ']",{'item': 'minecraft:brown_banner'},
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:brown_wool'}, 'X': {'tag': 'minecraft:planks'}}","['###', 'XXX']",{'item': 'minecraft:brown_bed'},
minecraft:crafting_shapeless,,,{'item': 'minecraft:brown_candle'},"[{'item': 'minecraft:candle'}, {'item': 'minecraft:brown_dye'}]"
minecraft:crafting_shaped,{'#': {'item': 'minecraft:brown_wool'}},['##'],"{'count': 3, 'item': 'minecraft:brown_carpet'}",
minecraft:crafting_shapeless,,,"{'count': 8, 'item': 'minecraft:brown_concrete_powder'}","[{'item': 'minecraft:brown_dye'}, {'item': 'minecraft:sand'}, {'item': 'minecraft:sand'}, {'item': 'minecraft:sand'}, {'item': 'minecraft:sand'}, {'item': 'minecraft:gravel'}, {'item': 'minecraft:gravel'}, {'item': 'minecraft:gravel'}, {'item': 'minecraft:gravel'}]"
minecraft:crafting_shapeless,,,{'item': 'minecraft:brown_dye'},[{'item': 'minecraft:cocoa_beans'}]
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:glass'}, 'X': {'item': 'minecraft:brown_dye'}}","['###', '#X#', '###']","{'count': 8, 'item': 'minecraft:brown_stained_glass'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:brown_stained_glass'}},"['###', '###']","{'count': 16, 'item': 'minecraft:brown_stained_glass_pane'}",
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:glass_pane'}, '$': {'item': 'minecraft:brown_dye'}}","['###', '#$#', '###']","{'count': 8, 'item': 'minecraft:brown_stained_glass_pane'}",
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:terracotta'}, 'X': {'item': 'minecraft:brown_dye'}}","['###', '#X#', '###']","{'count': 8, 'item': 'minecraft:brown_terracotta'}",
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:copper_ingot'}, 'I': {'item': 'minecraft:stick'}, 'X': {'item': 'minecraft:feather'}}","['X', '#', 'I']",{'item': 'minecraft:brush'},
minecraft:crafting_shaped,{'#': {'item': 'minecraft:iron_ingot'}},"['# #', ' # ']",{'item': 'minecraft:bucket'},
minecraft:crafting_shaped,"{'A': {'item': 'minecraft:milk_bucket'}, 'B': {'item': 'minecraft:sugar'}, 'C': {'item': 'minecraft:wheat'}, 'E': {'item': 'minecraft:egg'}}","['AAA', 'BEB', 'CCC']",{'item': 'minecraft:cake'},
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:amethyst_shard'}, 'X': {'item': 'minecraft:sculk_sensor'}}","[' # ', '#X#']",{'item': 'minecraft:calibrated_sculk_sensor'},
minecraft:crafting_shaped,"{'C': {'tag': 'minecraft:coals'}, 'L': {'tag': 'minecraft:logs'}, 'S': {'item': 'minecraft:stick'}}","[' S ', 'SCS', 'LLL']",{'item': 'minecraft:campfire'},
minecraft:crafting_shaped,"{'H': {'item': 'minecraft:honeycomb'}, 'S': {'item': 'minecraft:string'}}","['S', 'H']",{'item': 'minecraft:candle'},
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:fishing_rod'}, 'X': {'item': 'minecraft:carrot'}}","['# ', ' X']",{'item': 'minecraft:carrot_on_a_stick'},
minecraft:crafting_shaped,"{'#': {'tag': 'minecraft:planks'}, '@': {'item': 'minecraft:paper'}}","['@@', '##', '##']",{'item': 'minecraft:cartography_table'},
minecraft:crafting_shaped,{'#': {'item': 'minecraft:iron_ingot'}},"['# #', '# #', '###']",{'item': 'minecraft:cauldron'},
minecraft:crafting_shaped,"{'I': {'item': 'minecraft:iron_ingot'}, 'N': {'item': 'minecraft:iron_nugget'}}","['N', 'I', 'N']",{'item': 'minecraft:chain'},
minecraft:crafting_shaped,{'#': {'item': 'minecraft:cherry_planks'}},"['# #', '###']",{'item': 'minecraft:cherry_boat'},
minecraft:crafting_shapeless,,,{'item': 'minecraft:cherry_button'},[{'item': 'minecraft:cherry_planks'}]
minecraft:crafting_shapeless,,,{'item': 'minecraft:cherry_chest_boat'},"[{'item': 'minecraft:chest'}, {'item': 'minecraft:cherry_boat'}]"
minecraft:crafting_shaped,{'#': {'item': 'minecraft:cherry_planks'}},"['##', '##', '##']","{'count': 3, 'item': 'minecraft:cherry_door'}",
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:stick'}, 'W': {'item': 'minecraft:cherry_planks'}}","['W#W', 'W#W']","{'count': 3, 'item': 'minecraft:cherry_fence'}",
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:stick'}, 'W': {'item': 'minecraft:cherry_planks'}}","['#W#', '#W#']",{'item': 'minecraft:cherry_fence_gate'},
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:stripped_cherry_log'}, 'X': {'item': 'minecraft:chain'}}","['X X', '###', '###']","{'count': 6, 'item': 'minecraft:cherry_hanging_sign'}",
minecraft:crafting_shapeless,,,"{'count': 4, 'item': 'minecraft:cherry_planks'}",[{'tag': 'minecraft:cherry_logs'}]
minecraft:crafting_shaped,{'#': {'item': 'minecraft:cherry_planks'}},['##'],{'item': 'minecraft:cherry_pressure_plate'},
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:cherry_planks'}, 'X': {'item': 'minecraft:stick'}}","['###', '###', ' X ']","{'count': 3, 'item': 'minecraft:cherry_sign'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:cherry_planks'}},['###'],"{'count': 6, 'item': 'minecraft:cherry_slab'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:cherry_planks'}},"['#  ', '## ', '###']","{'count': 4, 'item': 'minecraft:cherry_stairs'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:cherry_planks'}},"['###', '###']","{'count': 2, 'item': 'minecraft:cherry_trapdoor'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:cherry_log'}},"['##', '##']","{'count': 3, 'item': 'minecraft:cherry_wood'}",
minecraft:crafting_shaped,{'#': {'tag': 'minecraft:planks'}},"['###', '# #', '###']",{'item': 'minecraft:chest'},
minecraft:crafting_shapeless,,,{'item': 'minecraft:chest_minecart'},"[{'item': 'minecraft:chest'}, {'item': 'minecraft:minecart'}]"
minecraft:crafting_shaped,"{'#': {'tag': 'minecraft:planks'}, 'X': {'tag': 'minecraft:wooden_slabs'}}","['###', 'XXX', '###']",{'item': 'minecraft:chiseled_bookshelf'},
minecraft:crafting_shaped,{'#': {'item': 'minecraft:cobbled_deepslate_slab'}},"['#', '#']",{'item': 'minecraft:chiseled_deepslate'},
minecraft:crafting_shaped,{'#': {'item': 'minecraft:nether_brick_slab'}},"['#', '#']",{'item': 'minecraft:chiseled_nether_bricks'},
minecraft:crafting_shaped,{'#': {'item': 'minecraft:polished_blackstone_slab'}},"['#', '#']",{'item': 'minecraft:chiseled_polished_blackstone'},
minecraft:crafting_shaped,{'#': {'item': 'minecraft:quartz_slab'}},"['#', '#']",{'item': 'minecraft:chiseled_quartz_block'},
minecraft:crafting_shaped,{'#': {'item': 'minecraft:red_sandstone_slab'}},"['#', '#']",{'item': 'minecraft:chiseled_red_sandstone'},
minecraft:crafting_shaped,{'#': {'item': 'minecraft:sandstone_slab'}},"['#', '#']",{'item': 'minecraft:chiseled_sandstone'},
minecraft:crafting_shaped,{'#': {'item': 'minecraft:stone_brick_slab'}},"['#', '#']",{'item': 'minecraft:chiseled_stone_bricks'},
minecraft:crafting_shaped,{'#': {'item': 'minecraft:clay_ball'}},"['##', '##']",{'item': 'minecraft:clay'},
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:gold_ingot'}, 'X': {'item': 'minecraft:redstone'}}","[' # ', '#X#', ' # ']",{'item': 'minecraft:clock'},
minecraft:crafting_shapeless,,,"{'count': 9, 'item': 'minecraft:coal'}",[{'item': 'minecraft:coal_block'}]
minecraft:crafting_shaped,{'#': {'item': 'minecraft:coal'}},"['###', '###', '###']",{'item': 'minecraft:coal_block'},
minecraft:crafting_shaped,"{'D': {'item': 'minecraft:dirt'}, 'G': {'item': 'minecraft:gravel'}}","['DG', 'GD']","{'count': 4, 'item': 'minecraft:coarse_dirt'}",
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:diamond'}, 'C': {'item': 'minecraft:cobblestone'}, 'S': {'item': 'minecraft:coast_armor_trim_smithing_template'}}","['#S#', '#C#', '###']","{'count': 2, 'item': 'minecraft:coast_armor_trim_smithing_template'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:cobbled_deepslate'}},['###'],"{'count': 6, 'item': 'minecraft:cobbled_deepslate_slab'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:cobbled_deepslate'}},"['#  ', '## ', '###']","{'count': 4, 'item': 'minecraft:cobbled_deepslate_stairs'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:cobbled_deepslate'}},"['###', '###']","{'count': 6, 'item': 'minecraft:cobbled_deepslate_wall'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:cobblestone'}},['###'],"{'count': 6, 'item': 'minecraft:cobblestone_slab'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:cobblestone'}},"['#  ', '## ', '###']","{'count': 4, 'item': 'minecraft:cobblestone_stairs'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:cobblestone'}},"['###', '###']","{'count': 6, 'item': 'minecraft:cobblestone_wall'}",
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:redstone_torch'}, 'I': {'item': 'minecraft:stone'}, 'X': {'item': 'minecraft:quartz'}}","[' # ', '#X#', 'III']",{'item': 'minecraft:comparator'},
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:iron_ingot'}, 'X': {'item': 'minecraft:redstone'}}","[' # ', '#X#', ' # ']",{'item': 'minecraft:compass'},
minecraft:crafting_shaped,{'#': {'tag': 'minecraft:wooden_slabs'}},"['# #', '# #', '###']",{'item': 'minecraft:composter'},
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:nautilus_shell'}, 'X': {'item': 'minecraft:heart_of_the_sea'}}","['###', '#X#', '###']",{'item': 'minecraft:conduit'},
minecraft:crafting_shaped,"{'#': {'item': 'minecraft:wheat'}, 'X': {'item': 'minecraft:cocoa_beans'}}",['#X#'],"{'count': 8, 'item': 'minecraft:cookie'}",
minecraft:crafting_shaped,{'#': {'item': 'minecraft:copper_ingot'}},"['###', '###', '###']",{'item': 'minecraft:copper_block'},
minecraft:crafting_shapeless,,,"{'count': 9, 'item': 'minecraft:copper_ingot'}",[{'item': 'minecraft:copper_block'}]
minecraft:crafting_shapeless,,,"{'count': 9, 'item': 'minecraft:copper_ingot'}",[{'item': 'minecraft:waxed_copper_block'}]
